OPERATOR_CD,AIRCRAFT_CD,FLEET_CD,CHAPTER_CD,PART_GROUP_CD,PART_NUMBER,SERIAL_NUMBER,INSTALL_DT,REMOVAL_DT,REMOVED_BOOL,AIRCRAFT_AGE,REPETITIVE_FAULT_QT,MEL_QTY,DELAY_QTY,TIME_SINCE_INSTALL_CYCLES,TIME_SINCE_NEW_CYCLES
JUE,763,737,52,B3VH69LY,MHK8Q9F1YY,S4K5THS,2/20/2016 09:57:12 AM,2/24/2016,1,16,0,,,0,0
JUE,763,737,52,OJW5I3KT,JRR2ZTB1D2,SWMF6IV,6/24/2014 01:35:17 PM,7/2/2014,1,14,0,,,0,0
JUE,763,737,52,DMJI55LT,XY9P07J7E8,SRK5F36,12/6/2015 08:56:42 AM,7/5/2019,1,16,0,806,27,2670,2670
JUE,763,737,53,7GGBROZ2,BVGF5BQMEB,SB2PVOG,4/21/2017 02:24:00 PM,4/21/2017,1,17,0,,,0,0
JUE,763,737,56,G4Q2KAYW,GAOAXLS251,S7XVFG8,1/7/2017 11:12:12 AM,4/22/2017,1,17,0,227,2,156,156
JUE,763,737,56,H5JQO86Z,1ZKEPX3FUN,SYQUE4O,9/10/2016 03:02:23 PM,11/28/2018,1,17,0,576,15,1657,1657
JUE,763,737,57,J3OGKZAU,NZ0P7JMZ9K,SQPIWXT,2/23/2016 12:42:08 PM,7/17/2018,1,16,0,615,15,1914,1914
JUE,763,737,78,YSSJXDPB,40UX7YUFOC,SALCENB,4/18/2015 10:11:17 AM,4/16/2015,1,15,0,,,0,0
JUE,763,737,78,YSSJXDPB,QQ4TJ4LE7G,S859ZZI,1/16/2018 04:30:00 AM,1/16/2018,1,18,0,,,0,0
JUE,763,737,78,YSSJXDPB,40UX7YUFOC,SDLRCZS,1/16/2018 04:30:00 AM,1/16/2018,1,18,0,,,0,0
JUE,763,737,78,JC6B7BEV,ADG49A6AGN,S37QVFB,1/16/2018 04:30:00 AM,1/16/2018,1,18,0,,,0,0
JUE,763,737,78,JC6B7BEV,ADG49A6AGN,SV7DRD0,1/16/2018 04:30:00 AM,1/16/2018,1,18,0,,,0,0
JUE,763,737,78,JC6B7BEV,ADG49A6AGN,S8CKVHC,1/16/2018 04:30:00 AM,8/13/2018,1,18,0,100,3,442,442
JUE,763,737,78,G8SPJLU4,ADG49A6AGN,SHEAN19,1/27/2019 03:45:00 AM,1/27/2019,1,19,0,,,0,3
JUE,763,737,78,47VMKZTC,UW6640IWHX,SDKVRT9,8/10/2014 11:48:14 AM,8/12/2014,1,15,0,,,-2,0
JUE,763,737,78,YSSJXDPB,QQ4TJ4LE7G,SW09Y9B,1/16/2018 04:30:00 AM,6/23/2018,1,18,0,68,,342,342
JUE,763,737,737,378AL1B3,9ZVV2XHDNX,SLZVSRD,4/22/2017 10:00:00 AM,12/22/2018,1,17,0,297,13,1248,1248
JUE,763,737,737,EOW9EFME,FWYLO5EBDL,SOV8TCN,1/28/2015 09:46:34 AM,3/18/2015,1,15,0,27,,122,122
JUE,763,737,737,BI516U1M,GEI2Z1WZAK,SVM14NF,1/4/2019 06:00:00 AM,4/18/2019,1,19,0,37,4,260,260
